6.672e+07,2.139e+07,53970,3.27e-05
5.196e+07,6.157e+07,79700,3.3613e-05
6.317e+07,3.156e+07,55990,4.2444e-05
5.106e+07,1.877e+07,70440,1.2891e-05
3.16e+07,6.223e+07,57020,4.0367e-05
1.015e+07,3.173e+07,58290,6.3261e-06
8.477e+07,4.99e+06,29610,3.22e-05
9.55e+07,3.433e+07,49100,9.0762e-05
7.879e+07,4.061e+07,71780,4.1447e-05
7.56e+06,5.757e+07,36540,2.1756e-05
3.523e+07,1.297e+07,44750,1.5229e-05
2.897e+07,1.896e+07,94630,4.0937e-06
1.28e+06,7.865e+07,75520,1.1781e-06
6.248e+07,6.123e+07,51110,9.7743e-05
8.547e+07,6.54e+06,25420,5.7734e-05
4.3e+05,9.61e+07,47230,1.2364e-06
2.043e+07,3.286e+07,83050,6.496e-06
7.498e+07,7.201e+07,76880,6.0968e-05
4.895e+07,8.484e+07,88290,3.5557e-05
3.274e+07,8.107e+07,70780,3.536e-05
8.41e+06,5.352e+07,55270,9.8339e-06
7.284e+07,6.096e+07,56090,9.4197e-05
1.664e+07,6.412e+07,76140,1.2283e-05
8.205e+07,6.881e+07,69960,7.6988e-05
7.72e+07,4.19e+06,42940,1.1708e-05
2.27e+07,3.876e+07,98950,5.9975e-06
1.985e+07,4.376e+07,60600,1.5786e-05
2.66e+07,4.161e+07,83400,1.062e-05
3.2e+05,7.387e+07,34250,1.3449e-06
4.824e+07,1.714e+07,87350,7.2324e-06
9.02e+07,2.183e+07,94930,1.4583e-05
4.531e+07,7.54e+06,85310,3.133e-06
7.199e+07,1.014e+07,70930,9.6837e-06
1.272e+07,5.819e+07,39150,3.223e-05
6.157e+07,6.704e+07,91920,3.2604e-05
6.203e+07,2.191e+07,94990,1.0053e-05
9.083e+07,1.798e+07,86140,1.4689e-05
6.681e+07,6.14e+07,55560,8.869e-05
9.709e+07,7.9e+07,83090,7.4147e-05
5.753e+07,4.638e+07,84330,2.5041e-05
9.536e+07,3.5e+05,51080,8.5374e-07
5.936e+07,4.542e+07,83450,2.5839e-05
8.537e+07,4.343e+07,60330,6.7986e-05
7.041e+07,8.73e+06,42970,2.2218e-05
5.934e+07,6.737e+07,91730,3.1709e-05
4.838e+07,8.935e+07,74400,5.212e-05
8.8e+06,1.049e+07,49700,2.4942e-06
2.446e+07,3e+07,62310,1.2614e-05
7.36e+07,1.619e+07,59440,2.2509e-05
8.972e+07,2.833e+07,94790,1.888e-05
1.712e+07,4.848e+07,91360,6.6366e-06
5.111e+07,7.675e+07,72000,5.0502e-05
8.962e+07,8.35e+06,78570,8.0904e-06
6.007e+07,6.27e+06,77390,4.1971e-06
9.04e+07,2.01e+06,87310,1.5908e-06
2.314e+07,5.89e+07,91540,1.0855e-05
7.818e+07,4.53e+06,82850,3.4435e-06
1.32e+06,4.32e+07,67930,8.2476e-07
1.181e+07,1.301e+07,70080,2.088e-06
4.19e+06,3.878e+07,15990,4.2415e-05
6.304e+07,6.377e+07,97000,2.8515e-05
1.266e+07,1.34e+07,77190,1.9002e-06
6.503e+07,4.72e+07,55910,6.5534e-05
7.738e+07,2.673e+07,61880,3.6051e-05
6.264e+07,3.199e+07,49110,5.5452e-05
8.04e+06,8.438e+07,76170,7.804e-06
4.659e+07,6.5e+05,34400,1.708e-06
3.962e+07,7.521e+07,52940,7.096e-05
2.619e+07,4.297e+07,44960,3.7157e-05
9.65e+07,3.488e+07,57490,6.7969e-05
1.357e+07,2.965e+07,49440,1.0986e-05
6.664e+07,8.59e+06,48120,1.6499e-05
9.051e+07,6.261e+07,77300,6.3295e-05
6.788e+07,3.479e+07,81820,2.3543e-05
1.397e+07,4.802e+07,94660,4.9966e-06
3.454e+07,4.573e+07,69640,2.1737e-05
9.33e+06,3.537e+07,23740,3.9079e-05
1.819e+07,2.762e+07,61210,8.9496e-06
2.055e+07,7.35e+06,13110,5.8652e-05
7.422e+07,3.407e+07,64310,4.0806e-05
6.141e+07,8.915e+07,95080,4.0418e-05
